"Date","Scenario","product_subproduct","Volumes"
2019-05-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",85
2019-06-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",415
2019-07-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",155
2019-08-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",148
2019-09-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",102
2019-10-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",138
2019-11-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",108
2019-12-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",373
2020-01-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",95
2020-02-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",318
2020-03-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",142
2020-04-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",124
2020-05-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",162
2020-06-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",120
2020-07-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",95
2020-08-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",466
2020-09-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",168
2020-10-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",166
2020-11-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",148
2020-12-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",339
2021-01-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",378
2021-02-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",249
2021-03-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",197
2021-04-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",158
2021-05-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",151
2021-06-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",106
2021-07-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",14
2021-08-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2021-09-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2021-10-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2021-11-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2021-12-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-01-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-02-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-03-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-04-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-05-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-06-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-07-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-08-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-09-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-10-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-11-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2022-12-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",0
2019-01-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",9
2019-02-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",5
2019-03-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",6317
2019-04-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",8225
2019-05-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",6505
2019-06-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",6036
2019-07-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",5743
2019-08-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",5257
2019-09-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",3204
2019-10-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",2948
2019-11-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",2084
2019-12-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",2037
2020-01-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1593
2020-02-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1669
2020-03-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",2143
2020-04-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1397
2020-05-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1082
2020-06-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1234
2020-07-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1482
2020-08-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1142
2020-09-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",944
2020-10-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1352
2020-11-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1004
2020-12-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",888
2021-01-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",747
2021-02-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1046
2021-03-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",955
2021-04-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",1062
2021-05-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",956
2021-06-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",971
2021-07-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",104
2021-08-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",0
2021-09-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",0
2021-10-01,"Service Delivery - RBO + SDP + EASE - Te","Ethernet_and_Change",0
